,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,date
0,"Joinville, SC, Brasil",2023-06-09,27.7,13.6,18.7,28.9,13.6,18.8,16.8,89.9,0.0,0,0.0,,0,0,13.3,9.3,98.5,1016.0,25.3,10.6,144.5,12.2,6,10,2023-06-09T06:58:50,2023-06-09T17:30:26,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-09
1,"Joinville, SC, Brasil",2023-06-10,32.1,11.4,21.9,31.7,11.4,21.9,14.7,67.9,0.0,0,0.0,,0,0,20.9,17.6,312.8,1013.3,0.0,13.6,148.2,12.8,6,10,2023-06-10T06:59:13,2023-06-10T17:30:27,0.75,Clear,Clear conditions throughout the day.,clear-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-10
2,"Joinville, SC, Brasil",2023-06-11,25.6,15.1,20.2,25.6,15.1,20.2,16.3,79.5,1.9,100,20.83,rain,0,0,22.0,25.1,137.2,1012.9,56.2,12.7,81.0,7.0,6,10,2023-06-11T06:59:35,2023-06-11T17:30:29,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-11
3,"Joinville, SC, Brasil",2023-06-12,16.7,13.0,14.3,16.7,13.0,14.3,13.9,97.6,32.5,100,83.33,rain,0,0,20.9,7.5,210.9,1020.7,94.8,5.8,19.4,1.6,1,10,2023-06-12T06:59:57,2023-06-12T17:30:33,0.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-12
4,"Joinville, SC, Brasil",2023-06-13,13.0,12.0,12.7,13.0,12.0,12.7,11.5,92.3,25.7,100,79.17,rain,0,0,22.7,7.5,303.6,1025.8,96.6,9.8,19.1,1.6,1,10,2023-06-13T07:00:18,2023-06-13T17:30:37,0.84,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-13
5,"Joinville, SC, Brasil",2023-06-14,16.1,12.5,14.9,16.1,12.5,14.9,14.7,99.1,38.6,100,83.33,rain,0,0,20.2,7.8,246.1,1022.8,97.0,2.7,25.7,2.1,1,10,2023-06-14T07:00:38,2023-06-14T17:30:43,0.87,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-14
6,"Joinville, SC, Brasil",2023-06-15,21.9,15.3,18.1,21.9,15.3,18.1,16.2,89.5,49.0,100,62.5,rain,0,0,53.6,25.9,278.9,1015.9,85.1,6.1,38.5,3.3,3,10,2023-06-15T07:00:57,2023-06-15T17:30:49,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-15
7,"Joinville, SC, Brasil",2023-06-16,23.8,9.6,17.0,23.8,9.6,17.0,11.1,70.7,0.0,0,0.0,,0,0,64.8,32.7,294.2,1015.4,30.3,13.6,92.8,7.9,5,10,2023-06-16T07:01:16,2023-06-16T17:30:57,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-16
8,"Joinville, SC, Brasil",2023-06-17,22.0,10.2,16.6,22.0,10.2,16.6,11.5,74.2,0.0,0,0.0,,0,0,10.4,12.8,209.7,1020.7,34.9,12.9,116.0,10.1,6,10,2023-06-17T07:01:33,2023-06-17T17:31:06,0.98,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,82798199999,86945099999,86948099999,86947099999,SBJV",2023-06-17
9,"Joinville, SC, Brasil",2023-06-18,18.1,9.2,13.8,18.1,9.2,13.8,9.9,78.9,0.1,100,4.17,rain,0,0,11.2,15.8,145.9,1023.6,56.5,13.5,155.5,13.4,6,10,2023-06-18T07:01:50,2023-06-18T17:31:16,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-18
10,"Joinville, SC, Brasil",2023-06-19,18.9,8.0,13.1,18.9,8.0,13.1,10.5,85.6,0.0,0,0.0,,0,0,10.1,14.1,48.1,1025.5,48.4,12.4,133.3,11.3,6,10,2023-06-19T07:02:06,2023-06-19T17:31:27,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-19
11,"Joinville, SC, Brasil",2023-06-20,21.9,9.2,15.5,21.9,9.2,15.5,12.4,83.8,0.0,0,0.0,,0,0,11.9,14.5,360.0,1022.9,43.0,13.3,126.2,10.8,5,10,2023-06-20T07:02:21,2023-06-20T17:31:38,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-20
12,"Joinville, SC, Brasil",2023-06-21,21.9,9.5,16.0,21.9,9.5,16.0,14.0,88.6,0.0,0,0.0,,0,0,9.4,11.0,138.1,1019.2,58.6,12.9,110.3,9.5,4,10,2023-06-21T07:02:34,2023-06-21T17:31:51,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-21
13,"Joinville, SC, Brasil",2023-06-22,22.9,15.2,18.4,22.9,15.2,18.4,17.5,94.6,0.5,100,12.5,rain,0,0,11.2,9.4,83.6,1016.2,81.2,10.5,112.5,9.9,6,10,2023-06-22T07:02:47,2023-06-22T17:32:05,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,82798199999,86948099999,86947099999,SBJV",2023-06-22
14,"Joinville, SC, Brasil",2023-06-23,22.8,17.2,19.7,22.8,17.2,19.7,18.1,90.9,1.5,100,29.17,rain,0,0,13.3,15.9,169.1,1015.3,82.0,12.7,58.2,5.0,2,10,2023-06-23T07:02:59,2023-06-23T17:32:20,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-23
15,"Joinville, SC, Brasil",2023-06-24,27.9,14.0,19.6,29.5,14.0,19.8,17.1,87.3,0.0,0,0.0,,0,0,9.0,7.6,344.2,1014.9,43.8,12.6,144.6,12.6,6,30,2023-06-24T07:03:09,2023-06-24T17:32:35,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-24
16,"Joinville, SC, Brasil",2023-06-25,28.9,14.0,20.7,30.6,14.0,21.0,17.4,83.0,0.0,0,0.0,,0,0,6.8,10.7,17.3,1016.7,22.1,12.1,147.7,12.7,6,30,2023-06-25T07:03:19,2023-06-25T17:32:52,0.24,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,82798199999,86948099999,86945099999,86947099999,remote,SBJV",2023-06-25
17,"Joinville, SC, Brasil",2023-06-26,27.8,12.6,19.0,29.0,12.6,19.2,16.0,85.3,0.0,0,0.0,,0,0,8.6,9.3,23.4,1017.2,10.0,13.2,147.8,12.9,6,10,2023-06-26T07:03:28,2023-06-26T17:33:09,0.25,Clear,Clear conditions throughout the day.,clear-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-26
18,"Joinville, SC, Brasil",2023-06-27,27.8,11.4,18.4,28.6,11.4,18.5,15.6,86.3,0.0,0,0.0,,0,0,8.6,12.6,99.6,1016.4,3.5,13.1,149.3,12.7,6,10,2023-06-27T07:03:35,2023-06-27T17:33:27,0.31,Clear,Clear conditions throughout the day.,clear-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-06-27
