,date,start_time,name,type,month,year,dayofyear,weekday,distance,max_heartrate,average_heartrate,average_speed,max_speed,total_elevation_gain,time_min
0,2024-03-28,20:25:47,Treinamento com peso ao entardecer,WeightTraining,March,2024,88,Thursday,0.0,125.0,93.9,0.0,0.0,0.0,67.53
2,2024-03-27,17:22:54,Treinamento com peso vespertino,WeightTraining,March,2024,87,Wednesday,0.0,117.0,95.3,0.0,0.0,0.0,46.33
4,2024-03-25,07:23:11,Treinamento com peso matinal,WeightTraining,March,2024,85,Monday,0.0,120.0,97.6,0.0,0.0,0.0,51.32
5,2024-03-22,20:50:28,Corrida ao entardecer,Run,March,2024,82,Friday,2.3,172.0,131.3,5.72,0.0,0.0,24.13
6,2024-03-22,19:52:19,Treinamento com peso ao entardecer,WeightTraining,March,2024,82,Friday,0.0,113.0,90.7,0.0,0.0,0.0,58.02
7,2024-03-19,20:38:12,Treinamento com peso ao entardecer,WeightTraining,March,2024,79,Tuesday,0.0,122.0,96.3,0.0,0.0,0.0,45.8
8,2024-03-19,20:15:59,Corrida ao entardecer,Run,March,2024,79,Tuesday,1.59,122.0,98.4,4.69,0.0,0.0,20.32
10,2024-03-15,07:32:52,Treinamento com peso matinal,WeightTraining,March,2024,75,Friday,0.0,125.0,88.4,0.0,0.0,0.0,60.0
11,2024-03-14,20:40:45,Treinamento com peso ao entardecer,WeightTraining,March,2024,74,Thursday,0.0,114.0,91.1,0.0,0.0,0.0,57.8
12,2024-03-13,07:29:47,Treinamento com peso matinal,WeightTraining,March,2024,73,Wednesday,0.0,119.0,93.3,0.0,0.0,0.0,47.43
13,2024-03-12,20:47:16,Treinamento com peso ao entardecer,WeightTraining,March,2024,72,Tuesday,0.0,118.0,86.5,0.0,0.0,0.0,55.52
14,2024-03-11,21:20:46,Treinamento com peso noturno,WeightTraining,March,2024,71,Monday,0.0,120.0,95.5,0.0,0.0,0.0,56.18
15,2024-03-11,20:55:50,Corrida ao entardecer,Run,March,2024,71,Monday,1.63,127.0,104.3,4.74,0.0,0.0,20.65
16,2024-03-09,09:53:43,Treinamento com peso matinal,WeightTraining,March,2024,69,Saturday,0.0,125.0,94.3,0.0,0.0,0.0,71.82
17,2024-03-08,21:07:49,Corrida noturna,Run,March,2024,68,Friday,2.3,180.0,143.1,6.5,0.0,0.0,21.23
18,2024-03-08,20:11:23,Treinamento com peso ao entardecer,WeightTraining,March,2024,68,Friday,0.0,119.0,89.2,0.0,0.0,0.0,56.35
19,2024-03-07,21:14:59,Corrida noturna,Run,March,2024,67,Thursday,1.4,163.0,124.8,5.85,0.0,0.0,14.37
20,2024-03-07,20:24:38,Treinamento com peso ao entardecer,WeightTraining,March,2024,67,Thursday,0.0,116.0,90.1,0.0,0.0,0.0,50.25
21,2024-03-06,20:31:27,Treinamento com peso ao entardecer,WeightTraining,March,2024,66,Wednesday,0.0,113.0,83.0,0.0,0.0,0.0,79.45
22,2024-03-05,20:27:06,Treinamento com peso ao entardecer,WeightTraining,March,2024,65,Tuesday,0.0,122.0,91.6,0.0,0.0,0.0,76.87
23,2024-03-05,20:02:53,Corrida ao entardecer,Run,March,2024,65,Tuesday,1.83,158.0,112.6,5.36,0.0,0.0,20.5
25,2024-03-01,20:04:42,Treinamento com peso ao entardecer,WeightTraining,March,2024,61,Friday,0.0,125.0,95.3,0.0,0.0,0.0,48.07
26,2024-02-29,21:05:43,Corrida noturna,Run,February,2024,60,Thursday,1.53,157.0,117.2,6.03,0.0,0.0,15.22
27,2024-02-29,20:08:11,Treinamento com peso ao entardecer,WeightTraining,February,2024,60,Thursday,0.0,111.0,88.1,0.0,0.0,0.0,56.83
28,2024-02-27,07:24:55,Treinamento com peso matinal,WeightTraining,February,2024,58,Tuesday,0.0,108.0,87.4,0.0,0.0,0.0,49.77
29,2024-02-26,21:41:57,Corrida noturna,Run,February,2024,57,Monday,1.85,167.0,130.1,6.11,0.0,0.0,18.17
30,2024-02-26,20:46:49,Treinamento com peso ao entardecer,WeightTraining,February,2024,57,Monday,0.0,110.0,85.7,0.0,0.0,0.0,51.55
31,2024-02-24,13:21:52,Corrida da tarde,Run,February,2024,55,Saturday,2.32,177.0,134.0,6.8,0.0,0.0,20.47
32,2024-02-24,12:30:19,Treinamento com peso na hora do almoço,WeightTraining,February,2024,55,Saturday,0.0,119.0,95.1,0.0,0.0,0.0,51.33
33,2024-02-22,07:30:47,Treinamento com peso matinal,WeightTraining,February,2024,53,Thursday,0.0,116.0,94.6,0.0,0.0,0.0,56.65
35,2024-02-21,07:30:00,Treinamento com peso matinal,WeightTraining,February,2024,52,Wednesday,0.0,114.0,92.2,0.0,0.0,0.0,47.28
36,2024-02-20,07:26:35,Treinamento com peso matinal,WeightTraining,February,2024,51,Tuesday,0.0,117.0,88.8,0.0,0.0,0.0,48.58
37,2024-02-19,20:34:20,Treinamento com peso ao entardecer,WeightTraining,February,2024,50,Monday,0.0,114.0,92.2,0.0,0.0,0.0,75.82
38,2024-02-16,20:11:20,Corrida ao entardecer,Run,February,2024,47,Friday,1.54,163.0,98.3,1.05,0.0,0.0,87.5
39,2024-02-16,19:16:38,Treinamento com peso ao entardecer,WeightTraining,February,2024,47,Friday,0.0,115.0,91.9,0.0,0.0,0.0,54.52
40,2024-02-15,07:23:43,Treinamento com peso matinal,WeightTraining,February,2024,46,Thursday,0.0,126.0,90.7,0.0,0.0,0.0,77.1
41,2024-02-14,07:31:13,Treinamento com peso matinal,WeightTraining,February,2024,45,Wednesday,0.0,127.0,95.8,0.0,0.0,0.0,56.7
42,2024-02-14,07:19:30,Corrida matinal,Run,February,2024,45,Wednesday,0.8,166.0,109.4,4.13,0.0,0.0,11.63
